date,open,high,close,low,volume,amount
2019-06-14,3690.4759999999997,3709.652,3654.88,3650.91,10181700400,116584260575
2019-06-13,3689.583,3697.592,3685.393,3654.2740000000003,9633171800,110459901918
2019-06-12,3706.864,3711.8790000000004,3691.0959999999995,3683.9390000000003,11917885300,132296097905
2019-06-11,3617.5240000000003,3723.1420000000003,3719.276,3617.5240000000003,14348280600,180899072311
2019-06-10,3578.008,3623.73,3610.744,3568.2790000000005,9237506100,117346608913
2019-06-06,3601.0359999999996,3601.0359999999996,3564.678,3557.0170000000003,8553440300,104367267724
2019-06-05,3627.795,3634.454,3597.105,3593.952,8864202000,114634228239
2019-06-04,3632.56,3636.1279999999997,3598.467,3584.461,8709709400,109467236536
2019-06-03,3640.613,3672.8140000000003,3632.013,3613.127,10072318000,123902446407
2019-05-31,3640.9959999999996,3668.18,3629.789,3627.545,8922226700,108264201339
2019-05-30,3648.85,3650.972,3641.183,3612.625,9420256100,112864079305
2019-05-29,3642.542,3693.2270000000003,3663.909,3637.348,9335544100,120002034237
2019-05-28,3633.018,3683.2309999999998,3672.261,3627.788,11788624000,148966334657
2019-05-27,3592.603,3648.027,3637.197,3556.257,10883087100,133399053908
2019-05-24,3584.902,3623.39,3593.914,3580.785,8093404800,101337496380
2019-05-23,3629.528,3631.474,3583.965,3578.113,9989778100,125611969477
2019-05-22,3663.153,3679.2729999999997,3649.38,3634.748,9834612800,121775244163
2019-05-21,3619.437,3690.0879999999997,3666.776,3610.6820000000002,11102292000,133071381089
2019-05-20,3635.736,3644.5,3617.792,3583.8320000000003,10896347700,134194262584
2019-05-17,3744.875,3745.3559999999998,3648.761,3637.583,12845324500,154092349652
2019-05-16,3720.039,3745.1409999999996,3743.9640000000004,3707.903,11625827400,139851940057
2019-05-15,3674.993,3741.0409999999997,3727.092,3674.993,11016176900,152534546781
2019-05-14,3630.4390000000003,3683.262,3645.15,3630.4390000000003,10231346000,135262868908
2019-05-13,3675.76,3702.901,3668.7259999999997,3658.0,10339186000,135053926707
2019-05-10,3643.0559999999996,3732.9240000000004,3730.4509999999996,3589.2909999999997,14800384700,195067170793
2019-05-09,3637.3459999999995,3656.897,3599.7,3584.823,10103739400,141829095760
2019-05-08,3648.5490000000004,3722.933,3667.4570000000003,3642.498,11286735500,145058486354
